name,stack_size,description,drop_level
Pride Before the Fall,8,Kaom's Heart Corrupted,68
Pride of the First Ones,7,Farrul's Fur,80
Prometheus' Armoury,6,One-Hand Weapon Item Level: 100 Double-Influenced Item,81
Prosperity,10,Perandus' Gold Ring,81
Rain of Chaos,8,Chaos Orb,23
Rain Tempter,9,Map Map Tier: 6,68
Rats,8,Rat's Nest,55
Rebirth,27,Charan's Sword,23
Rebirth and Renewal,4,Horned Scarab,81
Reckless Ambition,6,Omeyocan,54
Remembrance,8,Precursor's Emblem Corrupted,68
Runic Luck,4,10x Vendor Refresh Currency,1
Sambodhi's Vow,3,Mortal Fragment,68
Sambodhi's Wisdom,3,Tabula Rasa Two-Implicit Corrupted,58
Scholar of the Seas,7,Mao Kun,68
Seven Years Bad Luck,13,Mirror Shard,35
Shard of Fate,4,Vivid Jewel,23
Silence and Frost,7,The Pandemonius,81
Society's Remorse,1,10x Orb of Alteration,23
Something Dark,5,Blueprint Area Level: 83 Fully Revealed,81
Squandered Prosperity,5,The Light of Meaning Corrupted,81
Struck by Lightning,3,Electrocuting Jewellery Item Level: 76,75
Succor of the Sinless,6,Bottled Faith,81
Temperance,4,Relic Item Level: 83,81
Terrible Secret of Space,8,Level 21 Transfigured Golem Gem Quality: +23% Corrupted,72
The Academic,8,Inspired Learning,50
The Admirer,9,Atziri Item,75
The Adventuring Spirit,6,Victario's Influence,52
The Aesthete,8,Shavronne Item,23
The Apothecary,5,Mageblood,75
The Archmage's Right Hand,7,Glyphic Prophecy Wand Item Level: 100,81
The Arena Champion,10,Map Map Tier: 12,73
The Army of Blood,6,Bloodbond,28
The Artist,11,Level 4 Enhance Corrupted,75
The Aspirant,5,Item Elevated Item Influenced Item,81
The Astromancerhttps,7,The Eternity Shroud Two-Implicit Corrupted,81
The Avenger,12,Mjölner Corrupted,60
The Awakened,6,Jewellery Item Level: 86 Double-Influenced Item,81
The Bargain,5,Flawless Breachstone,81
The Battle Born,5,Axe,23
The Bear Womanhttps,6,Fecund Ursine Pelt Warlord Item,81
The Beast,6,Belly of the Beast,35
The Betrayal,9,Maligaro's Virtuosity,75
The Bitter Blossom,3,Level 21 Chaos Gem Quality: +23% Corrupted,72
The Blazing Fire,6,Chin Sol,62
The Blessing of Moosh,4,Level 21 Transfigured Gem Corrupted,72
The Body,4,Body Armour,23
The Bones,6,Level 21 Vaal Summon Skeletons Corrupted,72
The Brawny Battle Mage,5,Merciless Tornado Wand Item Level: 100,81
The Breach,4,Breach Item,68
The Brittle Emperor,8,Voll's Devotion Corrupted,70
The Cache,6,Jewellery,23
The Cacophony,8,3x Deafening Essence,68
The Calling,6,Beyond Item,23
The Card Sharp,4,Divination Scarab,68
The Carrion Crow,4,Life Armour,23
The Cartographer,1,10x Cartographer's Chisel,52
The Cataclysm,13,Level 21 Spell Gem Corrupted,72
The Catalyst,3,Vaal Orb,23
The Catch,18,Fishing Rod Incubated Item Level: 99,81
The Celestial Justicar,6,Six-Link Astral Plate,47
The Celestial Stonehttps,10,Opal Ring Item Level: 100 Shaper Item,81
The Chains that Bind,11,Six-Link Body Armour,38
The Cheater,3,Level 6 Awakened Support Gem Quality: +20% Corrupted,81
The Chosen,5,Skin of the Lords Corrupted,81
The Coming Storm,8,"Lightning Coil Lightning Coil Desert Brigandine Armour: (714-992) Evasion: (714-992) Movement Speed: -3% Requires Level 60 , 96 Str, 96 Dex Adds 1 to (20-30) Lightning Damage to Attacks (90-120)% increased Armour and Evasion +(60-80) to maximum Life -60% to Lightning Resistance 50% of Physical Damage from Hits taken as Lightning Damage ""There's nothing like imminent death to galvanize one's purpose in life."" - Malachai the Soulless.",60
The Conduit,9,Doryani's Fist,69
The Craving,4,Unending Hunger,23
The Cursed King,8,Rigwald's Curse,60
The Damned,6,Soul Ripper,68
The Dapper Prodigy,6,Six-Link Body Armour Item Level: 100,81
The Dark Mage,6,Six-Link Staff Item Level: 55,50
The Darkest Dream,6,Severed in Sleep Corrupted,68
The Deal,5,Cartography Scarab,68
The Deceiver,4,Belt of the Deceiver Corrupted,23
The Deep Ones,5,Tidebreaker,65
The Demon,10,Headhunter Two-Implicit Corrupted,75
The Demoness,5,Death's Hand,72
The Destination,9,Watcher's Eye Two-Implicit Corrupted,81
The Doctor,8,Headhunter,75
The Doppelganger,2,Mirror Arrow Quality: +20%,23
The Dragon,4,Coruscating Elixir,23
The Dragon's Heart,11,Level 4 Empower Corrupted,75
The Dreamer,6,Chayula Item,68
The Dreamland,8,Poorjoy's Asylum,68
The Drunken Aristocrat,8,Divination Distillate,23
The Dungeon Master,7,Belt Double-Influenced Item,81
The Easy Stroll,2,Map Map Tier: 15 Modifiers: 8 Corrupted,78
The Eldritch Decay,4,Uber Elder Fragment,81
The Emptiness,6,Vaal Breach Quality: +6% Corrupted,81
The Encroaching Darkness,8,Map Corrupted,68
The Endless Darknesshttps,9,Voidforge,81
The Endurance,4,Vivid Crimson Jewel,23
The Enforcerhttps,4,Spiked Gloves of the Conquest (Culling Strike) Item Level: 86 Warlord Item,81
The Enlightened,6,Level 3 Enlighten,68
The Enthusiasts,3,Victario's Influence Two-Implicit Corrupted,54
The Escape,5,Seven-League Step,75
The Eternal War,4,Timeless Jewel Two-Implicit Corrupted,68
The Ethereal,7,Six-Link Vaal Regalia,68
The Explorer,6,Map Corrupted,58
The Eye of Terror,8,Chayula's Flawless Breachstone,81
The Eye of the Dragon,10,Jewel Corrupted,23
The Fathomless Depths,8,Lightpoacher,68
The Feast,5,Romira's Banquet Corrupted,56
The Fiend,11,Headhunter Corrupted,75
The Finishing Touch,2,1x Fertile Catalyst,61
The Fishmonger,4,Albino Rhoa Feather,23
The Fletcher,5,Drillneck Corrupted,25
The Flora's Gift,5,Five-Link Staff Item Level: 66,60
The Fool,4,20x Orb of Chance,23
The Forgotten Treasure,6,Leather Belt Double-Influenced Item,81
The Formless Sea,7,Varunastra,64
The Forsaken,7,Umbilicus Immortalis,23
The Fortunate,12,2x Divine Orb,35
The Forward Gaze,6,Replica Item,53
The Fox,6,Level 20 Gem,68
The Fox in the Brambles,7,Bramblejack Two-Implicit Corrupted,54
The Gambler,5,Divination Card,23
The Garish Power,4,Jewel,23
The Gemcutter,3,Gemcutter's Prism,23
The Gentleman,4,Sword Corrupted,23
The Gladiator,5,Nightmare Bascinet,67
The Golden Era,7,Flaring Eclipse Staff Item Level: 100,81
The Greatest Intentions,10,The Saviour Two-Implicit Corrupted,81
The Gulf,5,"Thread of Hope Thread of Hope Crimson Jewel Radius: Variable Only affects Passives in (Small-Very Large) Ring Passives in Radius can be Allocated without being connected to your tree -(20-10)% to all Elemental Resistances Though we cannot touch; one thought, one wish, through centuries alone in darkness. Place into an allocated jewel socket on the Passive Skill Tree. Right click to remove from the Socket. Two-Implicit Corrupted",81
The Hale Hearthttps,4,Item Item Level: 100 Elder Item,81
The Harvester,11,The Harvest,37
The Hermit,9,Lifesprig,23
The Heroic Shot,1,17x Chromatic Orb,23
The Hive of Knowledge,6,Machina Mitts Two-Implicit Corrupted,67
The Hoarder,12,Exalted Orb,35
The Hook,8,Level 21 Transfigured Gem Quality: +23% Corrupted,72
The Hunger,9,Taste of Hate,38
The Immortal,10,House of Mirrors,35
The Incantation,4,The Whispering Ice,33
The Innocent,10,40x Orb of Regret,23
The Inoculated,4,Seraphim's Armour,73
The Insane Cat,9,Mageblood Item Level: 84 Corrupted,81
The Insatiable,3,The Harvest Corrupted,37
The Inventor,6,10x Vaal Orb,23
The Jester,9,Merciless One-Hand Weapon Item Level: 100,81
The Jeweller's Boon,5,Five-Linked Body Armour Influenced Item,68
The Journalist,10,Helmet Double-Veiled Item,68
The Journey,3,Harbinger's Orb,68
The King's Blade,5,Bloodthirsty Eternal Sword Item Level: 66,60
The King's Heart,8,Kaom's Heart,68
The Landing,5,The Beachhead Map Tier: 15 Corrupted,78
The Last One Standing,10,Atziri's Disfavour,80
The Last Supper,6,Bino's Kitchen Knife,58
The Leviathan,7,Maven Item Two-Implicit Corrupted,81
The Lich,12,Midnight Bargain Corrupted,40
The Life Thief,6,Zerphi's Heart,68
The Lion,5,Lioneye Item,23
The Long Con,4,Elderslayer's Exalted Orb,81
The Long Watch,3,The Fourth Vow,68
The Lord in Black,6,Ring of Bameth Item Level: 83,81
The Lord of Celebrationhttps,4,Sceptre of Celebration Shaper Item,77
The Lover,2,Jewellery Item Level: 79,68
The Lunaris Priestess,5,Sire of Shards,37
The Mad King,7,Vaal Aspect,81
The Magma Crab,6,Level 21 Vaal Molten Shell Corrupted,72
The Master Artisan,5,20x Quality Currency,23
The Mayor,5,The Light of Meaning,81
The Mercenary,5,Shield Corrupted,23
The Messenger,4,Harbinger Piece,68
The Metalsmith's Gift,6,Prismatic Ring,30
The Mind's Eyes,7,Astral Projector,75
The Mountain,6,Jewel of Potency,23
The Nurse,8,The Doctor,75
The Oath,6,Death's Oath,62
The Obscured,7,Breachstone,68
The Offering,8,Shavronne's Wrappings,47
The Offspring,9,Ryslatha's Coil,32
The Old Man,12,Fishing Rod Two-Implicit Corrupted,54
The One That Got Away,7,Replica Bated Breath,50
The One With All,6,Le Heup of All Corrupted,23
The Opulent,5,Ring Item Level: 100,81
The Pack Leader,6,Alpha's Howl,64
The Pact,9,Pledge of Hands,57
The Patient,8,The Nurse,68
The Penitent,5,Unset Ring,68
The Poet,9,Blood of Corruption Corrupted,23
The Polymath,3,Astramentis,23
The Porcupine,6,Six-Link Short Bow Item Level: 50,38
The Price of Devotion,7,Mageblood Quality: +20% Two-Implicit Corrupted,75
The Price of Loyalty,4,Skin of the Loyal Item Level: 25 Two-Implicit Corrupted,68
The Price of Prescience,5,Vaal Temple Map Map Tier: 16 Delirium: 100% Corrupted,78
The Price of Protection,5,Elder Guardian Occupied Map Map Tier: 14 to 16 Modifiers: 8 Corrupted,81
The Primordial,5,Jewel Primordial,80
The Prince of Darkness,6,Elegant Hubris,68
The Professor,4,The Putrid Cloister,68
The Progeny of Lunaris,2,Dying Sun,81
The Puzzle,5,5x Breachstone Splinter,68
The Queen,16,Atziri's Acuity,80
The Rabbit's Foot,8,10x Incursion Vial,54
The Rabid Rhoa,4,Malicious Gemini Claw Item Level: 83,81
The Realm,5,Portal Quality: +1-20%,46
The Return of the Rat,3,Tavukai,55
The Risk,3,Ventor's Gamble,65
The Rite of Elements,5,Level 21 Golem Gem Corrupted,72
The Road to Power,7,Runic One-Hand Weapon Item Level: 100,81
The Rusted Bard,9,4x Tainted Mythic Orb,68
The Ruthless Ceinture,7,Meginord's Girdle Corrupted,23
The Sacrifice,4,Six-Link Sacrificial Garb Item Level: 100,81
The Saint's Treasure,10,2x Exalted Orb,35
The Samurai's Eyehttps,3,Watcher's Eye,81
The Scarred Meadow,9,Wake of Destruction,23
The Scavenger,8,Carcass Jack,62
The Scholar,3,40x Scroll of Wisdom,23
The Scout,8,7x Exalted Orb,35
The Seeker,9,3x Orb of Annulment,35
The Sephirot,11,10x Divine Orb,35
The Shepherd's Sandals,3,Boots Item Level: 100 Two-Implicit Corrupted,81
The Shieldbearer,8,The Squire,70
The Shortcut,1,Quicksilver Flask of the Cheetah Item Level: 100,81
The Side Quest,5,20x Scouting Report,68
The Sigil,3,Unassailable Amulet,73
The Siren,7,The Whispering Ice Corrupted,33
The Skeleton,6,Level 1 Summon Skeletons Quality: +23% Corrupted,23
The Soul,9,Soul Taker,68
The Spark and the Flame,2,Berek's Respite,23
The Spoiled Prince,4,Dictator's Prophecy Wand Item Level: 100,81
The Standoff,3,Rustic Sash,23
The Stormcaller,4,Agnerod Staff,66
The Strategist,6,Inspired Learning Corrupted,50
The Summoner,6,Minion Gem Quality: +20%,23
The Sun,7,Rise of the Phoenix,49
The Surgeon,4,Surgeon's Flask,75
The Surveyor,4,Map Map Tier: 14,75
The Survivalist,3,7x Orb of Alchemy,23
The Sword King's Salute,7,Daresso's Salute,23
The Thaumaturgist,8,Shavronne's Revelation Corrupted,68
The Throne,2,Kaom's Roots Corrupted,68
The Tinkerer's Table,5,5x Fossil,33
The Tireless Extractor,8,10x Oil,68
The Tower,6,Staff,23
The Traitor,4,Wand Corrupted,23
The Transformation,5,Tainted Mythic Orb,68
The Trial,7,Map Map Tier: 15 Corrupted,78
The Tumbleweed,2,Diamond Ring of Redemption Item Level: 100 Redeemer Item,81
The Twilight Moon,6,The Twilight Temple,68
The Twins,8,Gemini Claw of Celebration Item Level: 83,81
The Tyrant,9,Merciless Weapon Item Level: 100,81
The Undaunted,5,Nemesis Item Corrupted,23
The Undisputedhttps,8,Merciless Vaal Axe Item Level: 100 Elder Item,81
The Unexpected Prize,2,Attribute Transforming Jewel Corrupted,23
The Union,7,10x Gemcutter's Prism,23
The Valkyrie,8,Nemesis Item,23
The Vast,7,Song of the Sirens,23
The Visionary,6,Lioneye's Vision,71
The Void,1,—,81
The Warden,4,Amulet Corrupted,23
The Warlord,6,Six-Link Coronal Maul Item Level: 83,81
The Watcher,12,Crown of Eyes,69
The Web,8,Weapon of Crafting,68
The Wedding Gift,2,Arakaali's Fang,53
The White Knighthttps,8,Six-Link Astral Plate Item Level: 100 Crusader Item,81
The Whiteout,8,Cospri's Malice,68
The Wilted Rose,7,Level 21 Aura Gem Corrupted,72
The Wind,7,Windripper,70
The Witch,8,Kiara's Determination,23
The Wolf,5,Rigwald Item,45
The Wolf's Legacy,4,Vaults of Atziri,68
The Wolf's Shadow,3,Hyaon's Fury,47
The Wolven King's Bite,8,Rigwald's Quills,77
The Wolverine,4,Claw Corrupted,23
The World Eaterhttps,8,Starforge,81
The Wrath,8,10x Chaos Orb,23
The Wretched,6,Belt,23
Thirst for Knowledge,5,Gluttony,48
Three Faces in the Dark,7,3x Chaos Orb,23
Three Voices,3,3x Essence,23
Thunderous Skies,5,Storm Cloud,23
Time-Lost Relic,10,League-Specific Item,68
Toxic Tidings,5,Dendrobate Two-Implicit Corrupted,59
Tranquillity,7,Voltaxic Rift,68
Treasure Hunter,7,Vaults of Atziri Corrupted,68
Triskaidekaphobia,13,Map Map Tier: 13 Quality: +13% Delirium: 100% Modifiers: 8 Corrupted,78
Turn the Other Cheek,3,Pacifism Corrupted,23
Unchained,4,Facebreaker Two-Implicit Corrupted,54
Underground Forest,4,10x Grand Eldritch Ichor,78
Unrequited Love,16,19x Mirror Shard,35
Vanity,9,Tabula Rasa Corrupted,23
Vile Power,5,Doomfletch,23
Vinia's Token,5,10x Orb of Regret,23
Void of the Elementshttps,3,Overpowering Opal Ring Item Level: 100 Elder Item,81
Volatile Power,9,Vaal Gem Quality: +20% Corrupted,23
Wealth and Power,11,Level 4 Enlighten Corrupted,75
When Currents Blaze,2,Stormfire Quality: +20% Corrupted,78
Who Asked,9,Dictator's Weapon Item Level: 83 Fractured,81
Winter's Embrace,2,Circle of Fear Three-Implicit Synthesised,81
